genre_ids,title,year,genre,vote_average,vote_count,popularity
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Science Fiction,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Action,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Adventure,7.847,2730,690.8873
"[35, 12, 10751]",Coyote vs. Acme,2026,Comedy,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Adventure,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Family,7.539,427,539.5072
"[28, 27, 878]",Colony,2026,Action,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Horror,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Science Fiction,8.083,805,401.4199
"[12, 28, 14]",The Odyssey,2026,Adventure,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Action,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Fantasy,8.011,3750,383.2533
"[878, 9648, 53]",The End of Oak Street,2026,Science Fiction,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Mystery,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Thriller,6.879,968,414.9533
"[28, 53]",The Mongoose,2026,Action,0.0,0,314.2254
"[28, 53]",The Mongoose,2026,Thriller,0.0,0,314.2254
"[28, 53]",Mutiny,2026,Action,6.43,408,280.2298
"[28, 53]",Mutiny,2026,Thriller,6.43,408,280.2298
"[10751, 14, 35, 12]",Moana,2026,Family,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Fantasy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Comedy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Adventure,7.3,662,255.7324
"[10749, 53]",Drawn Together,2026,Romance,6.676,85,217.9092
"[10749, 53]",Drawn Together,2026,Thriller,6.676,85,217.9092
[10749],Shape of My Heart,2024,Romance,5.688,8,174.0468
[35],Loves of a French Pussycat,1972,Comedy,4.2,9,268.5326
"[27, 878]",Resident Evil,2026,Horror,8.1,23,169.2206
"[27, 878]",Resident Evil,2026,Science Fiction,8.1,23,169.2206
[35],Cavegirl,1985,Comedy,3.923,26,202.1662
"[28, 35]",Mayday,2026,Action,7.982,645,151.1766
"[28, 35]",Mayday,2026,Comedy,7.982,645,151.1766
"[53, 28]",The Runner,2026,Thriller,6.77,498,167.9176
"[53, 28]",The Runner,2026,Action,6.77,498,167.9176
"[27, 35, 53]",Ghost in the Cell,2026,Horror,7.214,63,151.2661
"[27, 35, 53]",Ghost in the Cell,2026,Comedy,7.214,63,151.2661
"[27, 35, 53]",Ghost in the Cell,2026,Thriller,7.214,63,151.2661
"[28, 53]",Zip Wire,2026,Action,7.545,11,174.3249
"[28, 53]",Zip Wire,2026,Thriller,7.545,11,174.3249
"[18, 10749, 35]",Vishwanath & Sons,2026,Drama,7.217,23,155.0121
"[18, 10749, 35]",Vishwanath & Sons,2026,Romance,7.217,23,155.0121
"[18, 10749, 35]",Vishwanath & Sons,2026,Comedy,7.217,23,155.0121
"[16, 10751, 35, 12]",Toy Story 5,2026,Animation,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Family,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Comedy,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Adventure,8.354,2171,146.5064
"[10770, 10751, 28]",Clash of the Thundermans,2026,TV Movie,6.857,56,127.2023
"[10770, 10751, 28]",Clash of the Thundermans,2026,Family,6.857,56,127.2023
"[10770, 10751, 28]",Clash of the Thundermans,2026,Action,6.857,56,127.2023
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Science Fiction,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Action,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Adventure,7.847,2730,690.8873
"[35, 12, 10751]",Coyote vs. Acme,2026,Comedy,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Adventure,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Family,7.539,427,539.5072
"[28, 27, 878]",Colony,2026,Action,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Horror,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Science Fiction,8.083,805,401.4199
"[12, 28, 14]",The Odyssey,2026,Adventure,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Action,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Fantasy,8.011,3750,383.2533
"[878, 9648, 53]",The End of Oak Street,2026,Science Fiction,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Mystery,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Thriller,6.879,968,414.9533
"[28, 53]",The Mongoose,2026,Action,0.0,0,314.2254
"[28, 53]",The Mongoose,2026,Thriller,0.0,0,314.2254
"[28, 53]",Mutiny,2026,Action,6.43,408,280.2298
"[28, 53]",Mutiny,2026,Thriller,6.43,408,280.2298
"[10751, 14, 35, 12]",Moana,2026,Family,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Fantasy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Comedy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Adventure,7.3,662,255.7324
"[10749, 53]",Drawn Together,2026,Romance,6.676,85,217.9092
"[10749, 53]",Drawn Together,2026,Thriller,6.676,85,217.9092
[10749],Shape of My Heart,2024,Romance,5.688,8,174.0468
[35],Loves of a French Pussycat,1972,Comedy,4.2,9,268.5326
"[27, 878]",Resident Evil,2026,Horror,8.1,23,169.2206
"[27, 878]",Resident Evil,2026,Science Fiction,8.1,23,169.2206
[35],Cavegirl,1985,Comedy,3.923,26,202.1662
"[28, 35]",Mayday,2026,Action,7.982,645,151.1766
"[28, 35]",Mayday,2026,Comedy,7.982,645,151.1766
"[53, 28]",The Runner,2026,Thriller,6.77,498,167.9176
"[53, 28]",The Runner,2026,Action,6.77,498,167.9176
"[27, 35, 53]",Ghost in the Cell,2026,Horror,7.214,63,151.2661
"[27, 35, 53]",Ghost in the Cell,2026,Comedy,7.214,63,151.2661
"[27, 35, 53]",Ghost in the Cell,2026,Thriller,7.214,63,151.2661
"[28, 53]",Zip Wire,2026,Action,7.545,11,174.3249
"[28, 53]",Zip Wire,2026,Thriller,7.545,11,174.3249
"[18, 10749, 35]",Vishwanath & Sons,2026,Drama,7.217,23,155.0121
"[18, 10749, 35]",Vishwanath & Sons,2026,Romance,7.217,23,155.0121
"[18, 10749, 35]",Vishwanath & Sons,2026,Comedy,7.217,23,155.0121
"[16, 10751, 35, 12]",Toy Story 5,2026,Animation,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Family,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Comedy,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Adventure,8.354,2171,146.5064
"[10770, 10751, 28]",Clash of the Thundermans,2026,TV Movie,6.857,56,127.2023
"[10770, 10751, 28]",Clash of the Thundermans,2026,Family,6.857,56,127.2023
"[10770, 10751, 28]",Clash of the Thundermans,2026,Action,6.857,56,127.2023
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Science Fiction,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Action,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Adventure,7.847,2730,690.8873
"[35, 12, 10751]",Coyote vs. Acme,2026,Comedy,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Adventure,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Family,7.539,427,539.5072
"[28, 27, 878]",Colony,2026,Action,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Horror,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Science Fiction,8.083,805,401.4199
"[12, 28, 14]",The Odyssey,2026,Adventure,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Action,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Fantasy,8.011,3750,383.2533
"[878, 9648, 53]",The End of Oak Street,2026,Science Fiction,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Mystery,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Thriller,6.879,968,414.9533
"[28, 53]",The Mongoose,2026,Action,0.0,0,314.2254
"[28, 53]",The Mongoose,2026,Thriller,0.0,0,314.2254
"[28, 53]",Mutiny,2026,Action,6.43,408,280.2298
"[28, 53]",Mutiny,2026,Thriller,6.43,408,280.2298
"[10751, 14, 35, 12]",Moana,2026,Family,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Fantasy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Comedy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Adventure,7.3,662,255.7324
"[10749, 53]",Drawn Together,2026,Romance,6.676,85,217.9092
"[10749, 53]",Drawn Together,2026,Thriller,6.676,85,217.9092
[10749],Shape of My Heart,2024,Romance,5.688,8,174.0468
[35],Loves of a French Pussycat,1972,Comedy,4.2,9,268.5326
"[27, 878]",Resident Evil,2026,Horror,8.1,23,169.2206
"[27, 878]",Resident Evil,2026,Science Fiction,8.1,23,169.2206
[35],Cavegirl,1985,Comedy,3.923,26,202.1662
"[28, 35]",Mayday,2026,Action,7.982,645,151.1766
"[28, 35]",Mayday,2026,Comedy,7.982,645,151.1766
"[53, 28]",The Runner,2026,Thriller,6.77,498,167.9176
"[53, 28]",The Runner,2026,Action,6.77,498,167.9176
"[27, 35, 53]",Ghost in the Cell,2026,Horror,7.214,63,151.2661
"[27, 35, 53]",Ghost in the Cell,2026,Comedy,7.214,63,151.2661
"[27, 35, 53]",Ghost in the Cell,2026,Thriller,7.214,63,151.2661
"[28, 53]",Zip Wire,2026,Action,7.545,11,174.3249
"[28, 53]",Zip Wire,2026,Thriller,7.545,11,174.3249
"[18, 10749, 35]",Vishwanath & Sons,2026,Drama,7.217,23,155.0121
"[18, 10749, 35]",Vishwanath & Sons,2026,Romance,7.217,23,155.0121
"[18, 10749, 35]",Vishwanath & Sons,2026,Comedy,7.217,23,155.0121
"[16, 10751, 35, 12]",Toy Story 5,2026,Animation,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Family,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Comedy,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Adventure,8.354,2171,146.5064
"[10770, 10751, 28]",Clash of the Thundermans,2026,TV Movie,6.857,56,127.2023
"[10770, 10751, 28]",Clash of the Thundermans,2026,Family,6.857,56,127.2023
"[10770, 10751, 28]",Clash of the Thundermans,2026,Action,6.857,56,127.2023
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Science Fiction,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Action,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Adventure,7.847,2730,690.8873
"[35, 12, 10751]",Coyote vs. Acme,2026,Comedy,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Adventure,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Family,7.539,427,539.5072
"[28, 27, 878]",Colony,2026,Action,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Horror,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Science Fiction,8.083,805,401.4199
"[12, 28, 14]",The Odyssey,2026,Adventure,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Action,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Fantasy,8.011,3750,383.2533
"[878, 9648, 53]",The End of Oak Street,2026,Science Fiction,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Mystery,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Thriller,6.879,968,414.9533
"[28, 53]",The Mongoose,2026,Action,0.0,0,314.2254
"[28, 53]",The Mongoose,2026,Thriller,0.0,0,314.2254
"[28, 53]",Mutiny,2026,Action,6.43,408,280.2298
"[28, 53]",Mutiny,2026,Thriller,6.43,408,280.2298
"[10751, 14, 35, 12]",Moana,2026,Family,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Fantasy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Comedy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Adventure,7.3,662,255.7324
"[10749, 53]",Drawn Together,2026,Romance,6.676,85,217.9092
"[10749, 53]",Drawn Together,2026,Thriller,6.676,85,217.9092
[10749],Shape of My Heart,2024,Romance,5.688,8,174.0468
[35],Loves of a French Pussycat,1972,Comedy,4.2,9,268.5326
"[27, 878]",Resident Evil,2026,Horror,8.1,23,169.2206
"[27, 878]",Resident Evil,2026,Science Fiction,8.1,23,169.2206
[35],Cavegirl,1985,Comedy,3.923,26,202.1662
"[28, 35]",Mayday,2026,Action,7.982,645,151.1766
"[28, 35]",Mayday,2026,Comedy,7.982,645,151.1766
"[53, 28]",The Runner,2026,Thriller,6.77,498,167.9176
"[53, 28]",The Runner,2026,Action,6.77,498,167.9176
"[27, 35, 53]",Ghost in the Cell,2026,Horror,7.214,63,151.2661
"[27, 35, 53]",Ghost in the Cell,2026,Comedy,7.214,63,151.2661
"[27, 35, 53]",Ghost in the Cell,2026,Thriller,7.214,63,151.2661
"[28, 53]",Zip Wire,2026,Action,7.545,11,174.3249
"[28, 53]",Zip Wire,2026,Thriller,7.545,11,174.3249
"[18, 10749, 35]",Vishwanath & Sons,2026,Drama,7.217,23,155.0121
"[18, 10749, 35]",Vishwanath & Sons,2026,Romance,7.217,23,155.0121
"[18, 10749, 35]",Vishwanath & Sons,2026,Comedy,7.217,23,155.0121
"[16, 10751, 35, 12]",Toy Story 5,2026,Animation,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Family,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Comedy,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Adventure,8.354,2171,146.5064
"[10770, 10751, 28]",Clash of the Thundermans,2026,TV Movie,6.857,56,127.2023
"[10770, 10751, 28]",Clash of the Thundermans,2026,Family,6.857,56,127.2023
"[10770, 10751, 28]",Clash of the Thundermans,2026,Action,6.857,56,127.2023
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Science Fiction,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Action,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Adventure,7.847,2730,690.8873
"[35, 12, 10751]",Coyote vs. Acme,2026,Comedy,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Adventure,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Family,7.539,427,539.5072
"[28, 27, 878]",Colony,2026,Action,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Horror,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Science Fiction,8.083,805,401.4199
"[12, 28, 14]",The Odyssey,2026,Adventure,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Action,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Fantasy,8.011,3750,383.2533
"[878, 9648, 53]",The End of Oak Street,2026,Science Fiction,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Mystery,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Thriller,6.879,968,414.9533
"[28, 53]",The Mongoose,2026,Action,0.0,0,314.2254
"[28, 53]",The Mongoose,2026,Thriller,0.0,0,314.2254
"[28, 53]",Mutiny,2026,Action,6.43,408,280.2298
"[28, 53]",Mutiny,2026,Thriller,6.43,408,280.2298
"[10751, 14, 35, 12]",Moana,2026,Family,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Fantasy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Comedy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Adventure,7.3,662,255.7324
"[10749, 53]",Drawn Together,2026,Romance,6.676,85,217.9092
"[10749, 53]",Drawn Together,2026,Thriller,6.676,85,217.9092
[10749],Shape of My Heart,2024,Romance,5.688,8,174.0468
[35],Loves of a French Pussycat,1972,Comedy,4.2,9,268.5326
"[27, 878]",Resident Evil,2026,Horror,8.1,23,169.2206
"[27, 878]",Resident Evil,2026,Science Fiction,8.1,23,169.2206
[35],Cavegirl,1985,Comedy,3.923,26,202.1662
"[28, 35]",Mayday,2026,Action,7.982,645,151.1766
"[28, 35]",Mayday,2026,Comedy,7.982,645,151.1766
"[53, 28]",The Runner,2026,Thriller,6.77,498,167.9176
"[53, 28]",The Runner,2026,Action,6.77,498,167.9176
"[27, 35, 53]",Ghost in the Cell,2026,Horror,7.214,63,151.2661
"[27, 35, 53]",Ghost in the Cell,2026,Comedy,7.214,63,151.2661
"[27, 35, 53]",Ghost in the Cell,2026,Thriller,7.214,63,151.2661
"[28, 53]",Zip Wire,2026,Action,7.545,11,174.3249
"[28, 53]",Zip Wire,2026,Thriller,7.545,11,174.3249
"[18, 10749, 35]",Vishwanath & Sons,2026,Drama,7.217,23,155.0121
"[18, 10749, 35]",Vishwanath & Sons,2026,Romance,7.217,23,155.0121
"[18, 10749, 35]",Vishwanath & Sons,2026,Comedy,7.217,23,155.0121
"[16, 10751, 35, 12]",Toy Story 5,2026,Animation,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Family,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Comedy,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Adventure,8.354,2171,146.5064
"[10770, 10751, 28]",Clash of the Thundermans,2026,TV Movie,6.857,56,127.2023
"[10770, 10751, 28]",Clash of the Thundermans,2026,Family,6.857,56,127.2023
"[10770, 10751, 28]",Clash of the Thundermans,2026,Action,6.857,56,127.2023
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Science Fiction,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Action,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Adventure,7.847,2730,690.8873
"[35, 12, 10751]",Coyote vs. Acme,2026,Comedy,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Adventure,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Family,7.539,427,539.5072
"[28, 27, 878]",Colony,2026,Action,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Horror,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Science Fiction,8.083,805,401.4199
"[12, 28, 14]",The Odyssey,2026,Adventure,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Action,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Fantasy,8.011,3750,383.2533
"[878, 9648, 53]",The End of Oak Street,2026,Science Fiction,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Mystery,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Thriller,6.879,968,414.9533
"[28, 53]",The Mongoose,2026,Action,0.0,0,314.2254
"[28, 53]",The Mongoose,2026,Thriller,0.0,0,314.2254
"[28, 53]",Mutiny,2026,Action,6.43,408,280.2298
"[28, 53]",Mutiny,2026,Thriller,6.43,408,280.2298
"[10751, 14, 35, 12]",Moana,2026,Family,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Fantasy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Comedy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Adventure,7.3,662,255.7324
"[10749, 53]",Drawn Together,2026,Romance,6.676,85,217.9092
"[10749, 53]",Drawn Together,2026,Thriller,6.676,85,217.9092
[10749],Shape of My Heart,2024,Romance,5.688,8,174.0468
[35],Loves of a French Pussycat,1972,Comedy,4.2,9,268.5326
"[27, 878]",Resident Evil,2026,Horror,8.1,23,169.2206
"[27, 878]",Resident Evil,2026,Science Fiction,8.1,23,169.2206
[35],Cavegirl,1985,Comedy,3.923,26,202.1662
"[28, 35]",Mayday,2026,Action,7.982,645,151.1766
"[28, 35]",Mayday,2026,Comedy,7.982,645,151.1766
"[53, 28]",The Runner,2026,Thriller,6.77,498,167.9176
"[53, 28]",The Runner,2026,Action,6.77,498,167.9176
"[27, 35, 53]",Ghost in the Cell,2026,Horror,7.214,63,151.2661
"[27, 35, 53]",Ghost in the Cell,2026,Comedy,7.214,63,151.2661
"[27, 35, 53]",Ghost in the Cell,2026,Thriller,7.214,63,151.2661
"[28, 53]",Zip Wire,2026,Action,7.545,11,174.3249
"[28, 53]",Zip Wire,2026,Thriller,7.545,11,174.3249
"[18, 10749, 35]",Vishwanath & Sons,2026,Drama,7.217,23,155.0121
"[18, 10749, 35]",Vishwanath & Sons,2026,Romance,7.217,23,155.0121
"[18, 10749, 35]",Vishwanath & Sons,2026,Comedy,7.217,23,155.0121
"[16, 10751, 35, 12]",Toy Story 5,2026,Animation,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Family,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Comedy,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Adventure,8.354,2171,146.5064
"[10770, 10751, 28]",Clash of the Thundermans,2026,TV Movie,6.857,56,127.2023
"[10770, 10751, 28]",Clash of the Thundermans,2026,Family,6.857,56,127.2023
"[10770, 10751, 28]",Clash of the Thundermans,2026,Action,6.857,56,127.2023
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Science Fiction,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Action,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Adventure,7.847,2730,690.8873
"[35, 12, 10751]",Coyote vs. Acme,2026,Comedy,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Adventure,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Family,7.539,427,539.5072
"[28, 27, 878]",Colony,2026,Action,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Horror,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Science Fiction,8.083,805,401.4199
"[12, 28, 14]",The Odyssey,2026,Adventure,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Action,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Fantasy,8.011,3750,383.2533
"[878, 9648, 53]",The End of Oak Street,2026,Science Fiction,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Mystery,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Thriller,6.879,968,414.9533
"[28, 53]",The Mongoose,2026,Action,0.0,0,314.2254
"[28, 53]",The Mongoose,2026,Thriller,0.0,0,314.2254
"[28, 53]",Mutiny,2026,Action,6.43,408,280.2298
"[28, 53]",Mutiny,2026,Thriller,6.43,408,280.2298
"[10751, 14, 35, 12]",Moana,2026,Family,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Fantasy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Comedy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Adventure,7.3,662,255.7324
"[10749, 53]",Drawn Together,2026,Romance,6.676,85,217.9092
"[10749, 53]",Drawn Together,2026,Thriller,6.676,85,217.9092
[10749],Shape of My Heart,2024,Romance,5.688,8,174.0468
[35],Loves of a French Pussycat,1972,Comedy,4.2,9,268.5326
"[27, 878]",Resident Evil,2026,Horror,8.1,23,169.2206
"[27, 878]",Resident Evil,2026,Science Fiction,8.1,23,169.2206
[35],Cavegirl,1985,Comedy,3.923,26,202.1662
"[28, 35]",Mayday,2026,Action,7.982,645,151.1766
"[28, 35]",Mayday,2026,Comedy,7.982,645,151.1766
"[53, 28]",The Runner,2026,Thriller,6.77,498,167.9176
"[53, 28]",The Runner,2026,Action,6.77,498,167.9176
"[27, 35, 53]",Ghost in the Cell,2026,Horror,7.214,63,151.2661
"[27, 35, 53]",Ghost in the Cell,2026,Comedy,7.214,63,151.2661
"[27, 35, 53]",Ghost in the Cell,2026,Thriller,7.214,63,151.2661
"[28, 53]",Zip Wire,2026,Action,7.545,11,174.3249
"[28, 53]",Zip Wire,2026,Thriller,7.545,11,174.3249
"[18, 10749, 35]",Vishwanath & Sons,2026,Drama,7.217,23,155.0121
"[18, 10749, 35]",Vishwanath & Sons,2026,Romance,7.217,23,155.0121
"[18, 10749, 35]",Vishwanath & Sons,2026,Comedy,7.217,23,155.0121
"[16, 10751, 35, 12]",Toy Story 5,2026,Animation,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Family,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Comedy,8.354,2171,146.5064
"[16, 10751, 35, 12]",Toy Story 5,2026,Adventure,8.354,2171,146.5064
"[10770, 10751, 28]",Clash of the Thundermans,2026,TV Movie,6.857,56,127.2023
"[10770, 10751, 28]",Clash of the Thundermans,2026,Family,6.857,56,127.2023
"[10770, 10751, 28]",Clash of the Thundermans,2026,Action,6.857,56,127.2023
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Science Fiction,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Action,7.847,2730,690.8873
"[878, 28, 12]",Spider-Man: Brand New Day,2026,Adventure,7.847,2730,690.8873
"[35, 12, 10751]",Coyote vs. Acme,2026,Comedy,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Adventure,7.539,427,539.5072
"[35, 12, 10751]",Coyote vs. Acme,2026,Family,7.539,427,539.5072
"[28, 27, 878]",Colony,2026,Action,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Horror,8.083,805,401.4199
"[28, 27, 878]",Colony,2026,Science Fiction,8.083,805,401.4199
"[12, 28, 14]",The Odyssey,2026,Adventure,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Action,8.011,3750,383.2533
"[12, 28, 14]",The Odyssey,2026,Fantasy,8.011,3750,383.2533
"[878, 9648, 53]",The End of Oak Street,2026,Science Fiction,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Mystery,6.879,968,414.9533
"[878, 9648, 53]",The End of Oak Street,2026,Thriller,6.879,968,414.9533
"[28, 53]",The Mongoose,2026,Action,0.0,0,314.2254
"[28, 53]",The Mongoose,2026,Thriller,0.0,0,314.2254
"[28, 53]",Mutiny,2026,Action,6.43,408,280.2298
"[28, 53]",Mutiny,2026,Thriller,6.43,408,280.2298
"[10751, 14, 35, 12]",Moana,2026,Family,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Fantasy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Comedy,7.3,662,255.7324
"[10751, 14, 35, 12]",Moana,2026,Adventure,7.3,662,255.7324
"[10749, 53]",Drawn Together,2026,Romance,6.676,85,217.9092
"[10749, 53]",Drawn Together,2026,Thriller,6.676,85,217.9092
[10749],Shape of My Heart,2024,Romance,5.688,8,174.0468
[35],Loves of a French Pussycat,1972,Comedy,4.2,9,268.5326
"[27, 878]",Resident Evil,2026,Horror,8.1,23,169.2206
"[27, 878]",Resident Evil,2026,Science Fiction,8.1,23,169.2206
[35],Cavegirl,1985,Comedy,3.923,26,202.1662
